Type,Name,OD,SD,SI,OI,Pair,PPT,PPTL,PPTU,PPF,PPFL,PPFU,PPM,PPML,PPMU
INFP,Mediator,I,N,F,P,16,4.4,4,5,4.6,4,7,4.1,3,5
INFJ,Advocate,I,N,F,J,9,1.46,1,3,1.6,2,4,1.3,1,2
INTP,Logician,I,N,T,P,5,3.3,3,5,1.8,1,3,4.8,4,7
INTJ,Architect,I,N,T,J,13,2.1,2,4,2.1,1,3,3.3,2,6
ISFP,Adventurer,I,S,F,P,3,8.8,5,9,9.9,6,10,7.6,4,8
ISFJ,Defender,I,S,F,J,11,13.8,9,14,19.4,15,20,8.1,6,8
ISTP,Virtuoso,I,S,T,P,10,5.4,4,6,2.4,2,3,8.5,6,9
ISTJ,Logistician,I,S,T,J,15,11.6,11,14,6.9,7,10,16.4,14,19
ENFP,Campaigner,E,N,F,P,2,8.1,6,8,9.7,8,10,6.4,5,7
ENFJ,Protagonist,E,N,F,J,7,2.5,2,5,3.3,3,6,1.6,1,3
ENTP,Debater,E,N,T,P,6,3.2,2,5,2.4,2,4,4,3,7
ENTJ,Commander,E,N,T,J,14,1.8,2,5,0.9,1,4,2.7,3,6
ESFP,Entertainer,E,S,F,P,4,8.5,4,9,10.1,7,10,6.9,3,7
ESFJ,Consul,E,S,F,J,12,12.3,9,13,16.9,12,17,7.5,5,8
ESTP,Entrepreneur,E,S,T,P,8,4.3,4,5,4.3,2,4,5.6,5,6
ESTJ,Executive,E,S,T,J,1,8.7,8,12,6.3,6,8,11.2,10,12
