Type,Name,OD,SD,SI,OI,Pair,LP,UP,PR
INFP,Mediator,0,0,0,0,16,4,5,4.4
INFJ,Advocate,0,0,0,1,9,1,3,1.5
INTP,Logician,0,0,1,0,5,3,5,3.3
INTJ,Architect,0,0,1,1,13,2,4,2.1
ISFP,Adventurer,0,1,0,0,3,5,9,8.8
ISFJ,Defender,0,1,0,1,11,9,14,13.8
ISTP,Virtuoso,0,1,1,0,10,4,6,5.4
ISTJ,Logistician,0,1,1,1,15,11,14,11.6
ENFP,Campaigner,1,0,0,0,2,6,8,8.1
ENFJ,Protagonist,1,0,0,1,7,2,5,2.5
ENTP,Debater,1,0,1,0,6,2,5,3.2
ENTJ,Commander,1,0,1,1,14,2,5,1.8
ESFP,Entertainer,1,1,0,0,4,4,9,8.5
ESFJ,Consul,1,1,0,1,12,9,13,12.3
ESTP,Entrepreneur,1,1,1,0,8,4,5,4.3
ESTJ,Executive,1,1,1,1,1,8,12,8.7
